2021-12-12 08:12:254 INFO  ManageDriver :31 - launching Chrome Browser
2021-12-12 08:12:679 INFO  ManageDriver :31 - launching Chrome Browser
2021-12-12 08:12:158 INFO  ManageDriver :31 - launching Chrome Browser
2021-12-12 08:12:849 INFO  HomePage :28 - Clicking on SignIn[[ChromeDriver: chrome on WINDOWS (d1e70f329bef0403b5c39ccd9070ec16)] -> xpath: //a[contains(text(),'Sign in')]]
2021-12-12 08:12:805 INFO  ManageDriver :31 - launching Chrome Browser
2021-12-12 08:12:835 INFO  HomePage :28 - Clicking on SignIn[[ChromeDriver: chrome on WINDOWS (9f1a508945701362c3afaf34c11bf41c)] -> xpath: //a[contains(text(),'Sign in')]]
2021-12-12 09:12:295 INFO  ManageDriver :31 - launching Chrome Browser
2021-12-12 09:12:793 INFO  HomePage :28 - Clicking on SignIn[[ChromeDriver: chrome on WINDOWS (03e79a259adf522a52884c66ec220057)] -> xpath: //a[contains(text(),'Sign in')]]
2021-12-12 09:12:781 INFO  ManageDriver :31 - launching Chrome Browser
2021-12-12 09:12:596 INFO  HomePage :28 - Clicking on SignIn[[ChromeDriver: chrome on WINDOWS (379d9978c189044a6fb162229b8bee47)] -> xpath: //a[contains(text(),'Sign in')]]
2021-12-12 09:12:468 INFO  ManageDriver :31 - launching Chrome Browser
2021-12-12 09:12:197 INFO  HomePage :28 - Clicking on SignIn[[ChromeDriver: chrome on WINDOWS (56602cff4eb942e69bf6e9a90ed730f8)] -> xpath: //a[contains(text(),'Sign in')]]
2021-12-12 22:12:367 INFO  ManageDriver :31 - launching Chrome Browser
2021-12-12 22:12:587 INFO  HomePage :28 - Clicking on SignIn[[ChromeDriver: chrome on WINDOWS (08f7eb3686853b40ee94c27af32031a2)] -> xpath: //a[contains(text(),'Sign in')]]
2021-12-12 22:12:715 INFO  SignInPage :44 - Entering the email : P9FMm9j1k6@gmail.com
2021-12-12 22:12:818 INFO  SignInPage :50 - Clicking on create account[[ChromeDriver: chrome on WINDOWS (08f7eb3686853b40ee94c27af32031a2)] -> xpath: //button[@id='SubmitCreate']]
2021-12-12 22:12:587 INFO  ManageDriver :31 - launching Chrome Browser
2021-12-12 22:12:296 INFO  HomePage :28 - Clicking on SignIn[[ChromeDriver: chrome on WINDOWS (23d7e37b64ab9a024d39a805278f5694)] -> xpath: //a[contains(text(),'Sign in')]]
2021-12-12 22:12:345 INFO  SignInPage :38 - Verifying the message[[ChromeDriver: chrome on WINDOWS (23d7e37b64ab9a024d39a805278f5694)] -> xpath: //h1[contains(text(),'Authentication')]]
2021-12-12 22:12:180 INFO  ManageDriver :31 - launching Chrome Browser
2021-12-12 22:12:639 INFO  HomePage :28 - Clicking on SignIn[[ChromeDriver: chrome on WINDOWS (19c12d219e4d0bb3d9c3f89425fe1884)] -> xpath: //a[contains(text(),'Sign in')]]
2021-12-12 22:12:750 INFO  SignInPage :56 - Entering username prime@gmail.com
2021-12-12 22:12:839 INFO  SignInPage :62 - Entering the password Prime123
2021-12-12 22:12:231 INFO  SignInPage :68 - Clicking on Signin button : Proxy element for: DefaultElementLocator 'By.xpath: //button[@id='SubmitLogin']'
2021-12-12 22:12:293 INFO  SignInPage :98 - Verifying Signout link : [[ChromeDriver: chrome on WINDOWS (19c12d219e4d0bb3d9c3f89425fe1884)] -> xpath: //a[@title='Log me out']]
2021-12-12 22:12:73 INFO  ManageDriver :31 - launching Chrome Browser
2021-12-12 22:12:104 INFO  HomePage :28 - Clicking on SignIn[[ChromeDriver: chrome on WINDOWS (0ab8bad975dbd64aa64e4af21fefcd8e)] -> xpath: //a[contains(text(),'Sign in')]]
2021-12-12 22:12:223 INFO  SignInPage :56 - Entering username prime@gmail.com
2021-12-12 22:12:327 INFO  SignInPage :62 - Entering the password Prime123
2021-12-12 22:12:631 INFO  SignInPage :68 - Clicking on Signin button : Proxy element for: DefaultElementLocator 'By.xpath: //button[@id='SubmitLogin']'
2021-12-12 22:12:531 INFO  SignInPage :103 - Clicking on SignOut : Proxy element for: DefaultElementLocator 'By.xpath: //a[@title='Log me out']'
2021-12-12 22:12:609 INFO  SignInPage :108 - Verifying SignIn link : [[ChromeDriver: chrome on WINDOWS (0ab8bad975dbd64aa64e4af21fefcd8e)] -> xpath: //button[@id='SubmitLogin']]
2021-12-13 00:12:51 INFO  ManageDriver :31 - launching Chrome Browser
2021-12-13 00:12:724 INFO  HomePage :28 - Clicking on SignIn[[ChromeDriver: chrome on WINDOWS (30da3224992ba951a2fde0092029abd9)] -> xpath: //a[contains(text(),'Sign in')]]
2021-12-13 00:12:905 INFO  SignInPage :44 - Entering the email : emailString()@gmail.com
2021-12-13 00:12:28 INFO  SignInPage :50 - Clicking on create account[[ChromeDriver: chrome on WINDOWS (30da3224992ba951a2fde0092029abd9)] -> xpath: //button[@id='SubmitCreate']]
